word,count
i,5434
have,1180
bought,181
sever,64
of,2588
the,6255
vital,1
can,563
dog,216
food,505
product,629
and,4415
found,177
them,903
all,592
to,3119
be,688
good,736
qualiti,128
look,211
more,397
like,937
a,3865
stew,5
than,411
process,32
meat,49
it,2984
smell,55
better,251
my,1366
labrador,1
is,2258
finicki,7
she,151
appreci,10
thi,1913
most,144
<end>,2000
arriv,82
label,44
as,924
jumbo,2
salt,274
peanut,60
were,422
actual,102
small,112
size,143
unsalt,10
not,1103
sure,106
if,539
wa,964
an,279
error,2
or,569
vendor,12
intend,3
repres,2
confect,2
that,1254
ha,371
been,208
around,70
few,109
centuri,1
light,55
pillowi,1
citru,6
gelatin,3
with,1126
nut,50
in,1796
case,119
filbert,1
cut,60
into,84
tini,31
squar,5
then,167
liber,1
coat,35
powder,90
sugar,232
mouth,60
heaven,7
too,342
chewi,15
veri,577
flavor,982
highli,83
recommend,197
yummi,29
treat,103
you,1273
are,1504
familiar,5
stori,5
c,23
s,937
lewi,1
lion,2
witch,2
wardrob,2
seduc,1
edmund,1
sell,40
out,360
hi,80
brother,11
sister,9
for,1824
secret,6
ingredi,143
robitussin,1
believ,54
got,126
addit,42
root,8
beer,31
extract,39
order,388
which,269
made,148
some,326
cherri,26
soda,23
medicin,9
great,633
taffi,9
at,590
price,303
there,294
wide,10
assort,14
deliveri,33
quick,45
your,259
lover,23
deal,83
wild,6
hair,5
five,17
pound,49
bag,630
enjoy,165
mani,160
watermelon,7
melon,1
peppermint,5
grape,9
etc,34
onli,345
complaint,21
bit,150
much,317
red,43
black,53
licoric,50
piec,43
just,543
particular,16
favorit,208
between,22
me,375
kid,65
husband,74
last,92
two,131
week,65
would,353
brand,266
delight,19
saltwat,1
had,445
soft,31
each,106
candi,66
individu,36
wrap,28
well,208
none,22
stuck,17
togeth,28
did,134
happen,25
expens,73
version,37
fraling,1
serv,124
beach,4
theme,10
parti,28
everyon,59
love,671
so,845
amaz,62
definit,114
buy,374
satisfi,47
right,111
now,212
m,241
mostli,21
sprout,3
cat,99
eat,386
grass,4
they,1331
rotat,2
wheatgrass,1
rye,1
healthi,120
their,214
digest,23
also,291
puppi,18
her,116
requir,15
amount,81
everi,119
feed,41
don,316
t,946
know,168
cactu,2
tequila,5
uniqu,28
combin,34
but,1178
flavour,23
hot,130
sauc,102
make,380
one,590
kind,68
we,523
pick,35
up,268
bottl,69
onc,59
on,875
trip,22
brought,19
back,86
home,65
us,58
total,39
blown,2
away,77
when,390
realiz,27
simpli,25
couldn,51
find,265
anywher,18
our,199
citi,6
bum,4
br,2137
becaus,284
magic,5
internet,9
ecstat,2
mean,46
realli,340
want,198
tastelessli,2
burn,26
throat,3
grab,17
picant,2
gourmet,25
de,5
inclan,2
tast,820
will,431
never,122
use,542
ani,210
other,439
thank,98
person,51
incred,18
servic,38
boy,11
need,133
lose,17
weight,72
didn,108
put,99
floor,3
chubbi,2
guy,17
protein,46
rich,35
no,349
by,258
higher,26
where,72
skinni,4
jump,4
sit,19
go,236
stale,28
both,88
about,350
ounc,56
happili,2
felida,12
platinum,3
year,180
new,67
shape,25
differ,137
tri,567
first,184
bowl,22
full,66
kitti,4
touch,15
ve,253
notic,40
similar,32
review,156
relat,4
formula,39
chang,58
past,39
unfortun,38
these,1197
came,85
secur,7
pack,249
fresh,134
delici,160
twizzler,13
strawberri,32
guilti,7
pleasur,7
six,22
while,98
son,61
daughter,49
shipment,25
hit,29
spot,14
exactli,31
what,241
expect,84
packag,189
watch,27
tv,3
movi,3
sweet,182
transfer,3
zip,7
lock,7
baggi,2
stay,45
take,118
time,326
am,262
purchas,208
share,44
childhood,5
lancast,1
pennsylvania,1
y,11
inc,7
oldest,5
confectioneri,2
firm,7
unit,18
state,30
subsidiari,1
hershey,6
compani,73
establish,1
1845,1
young,6
smyli,1
appl,40
